game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235544,7,1,0,1,110210122,2025-03-19 23:55:44,
20250319_235544,8,2,0,2,112210122,2025-03-19 23:55:44,
20250319_235544,9,1,1,2,112211122,2025-03-19 23:55:44,0
20250319_235544,1,1,0,1,010000000,2025-03-19 23:55:44,
20250319_235544,2,2,1,2,010002000,2025-03-19 23:55:44,
20250319_235544,3,1,0,2,011002000,2025-03-19 23:55:45,
20250319_235544,4,2,2,2,011002002,2025-03-19 23:55:45,
20250319_235544,5,1,2,0,011002102,2025-03-19 23:55:45,
20250319_235544,6,2,1,0,011202102,2025-03-19 23:55:45,
20250319_235544,7,1,2,1,011202112,2025-03-19 23:55:45,
20250319_235544,8,2,0,0,211202112,2025-03-19 23:55:45,
20250319_235544,9,1,1,1,211212112,2025-03-19 23:55:45,1
20250319_235545,1,1,1,0,000100000,2025-03-19 23:55:45,
20250319_235545,2,2,0,1,020100000,2025-03-19 23:55:45,
20250319_235545,3,1,0,0,120100000,2025-03-19 23:55:46,
20250319_235545,4,2,2,2,120100002,2025-03-19 23:55:46,
20250319_235545,5,1,1,1,120110002,2025-03-19 23:55:46,
20250319_235545,6,2,2,0,120110202,2025-03-19 23:55:46,
20250319_235545,7,1,0,2,121110202,2025-03-19 23:55:46,
20250319_235545,8,2,1,2,121112202,2025-03-19 23:55:46,
20250319_235545,9,1,2,1,121112212,2025-03-19 23:55:46,0
20250319_235546,1,1,2,2,000000001,2025-03-19 23:55:46,
20250319_235546,2,2,2,0,000000201,2025-03-19 23:55:46,
20250319_235546,3,1,1,0,000100201,2025-03-19 23:55:46,
20250319_235546,4,2,0,2,002100201,2025-03-19 23:55:47,
20250319_235546,5,1,1,1,002110201,2025-03-19 23:55:47,
20250319_235546,6,2,2,1,002110221,2025-03-19 23:55:47,
20250319_235546,7,1,1,2,002111221,2025-03-19 23:55:47,1
20250319_235547,1,1,2,1,000000010,2025-03-19 23:55:47,
20250319_235547,2,2,0,0,200000010,2025-03-19 23:55:47,
20250319_235547,3,1,0,2,201000010,2025-03-19 23:55:47,
20250319_235547,4,2,1,2,201002010,2025-03-19 23:55:47,
20250319_235547,5,1,0,1,211002010,2025-03-19 23:55:48,
20250319_235547,6,2,1,0,211202010,2025-03-19 23:55:48,
20250319_235547,7,1,2,2,211202011,2025-03-19 23:55:48,
20250319_235547,8,2,2,0,211202211,2025-03-19 23:55:48,2
20250319_235548,1,1,0,1,010000000,2025-03-19 23:55:48,
20250319_235548,2,2,0,2,012000000,2025-03-19 23:55:48,
20250319_235548,3,1,2,1,012000010,2025-03-19 23:55:48,
20250319_235548,4,2,1,0,012200010,2025-03-19 23:55:48,
20250319_235548,5,1,2,0,012200110,2025-03-19 23:55:48,
20250319_235548,6,2,0,0,212200110,2025-03-19 23:55:48,
20250319_235548,7,1,2,2,212200111,2025-03-19 23:55:49,1
20250319_235549,1,1,0,2,001000000,2025-03-19 23:55:49,
20250319_235549,2,2,0,0,201000000,2025-03-19 23:55:49,
20250319_235549,3,1,2,0,201000100,2025-03-19 23:55:49,
20250319_235549,4,2,1,0,201200100,2025-03-19 23:55:49,
20250319_235549,5,1,1,1,201210100,2025-03-19 23:55:49,1
20250319_235549,1,1,1,1,000010000,2025-03-19 23:55:49,
20250319_235549,2,2,0,0,200010000,2025-03-19 23:55:49,
20250319_235549,3,1,0,1,210010000,2025-03-19 23:55:49,
20250319_235549,4,2,1,0,210210000,2025-03-19 23:55:49,
20250319_235549,5,1,2,1,210210010,2025-03-19 23:55:50,1
20250319_235550,1,1,2,0,000000100,2025-03-19 23:55:50,
20250319_235550,2,2,2,2,000000102,2025-03-19 23:55:50,
20250319_235550,3,1,1,1,000010102,2025-03-19 23:55:50,
20250319_235550,4,2,0,2,002010102,2025-03-19 23:55:50,
20250319_235550,5,1,1,2,002011102,2025-03-19 23:55:50,
20250319_235550,6,2,0,0,202011102,2025-03-19 23:55:50,
20250319_235550,7,1,1,0,202111102,2025-03-19 23:55:50,1
20250319_235551,1,1,1,0,000100000,2025-03-19 23:55:51,
20250319_235551,2,2,1,2,000102000,2025-03-19 23:55:51,
20250319_235551,3,1,2,2,000102001,2025-03-19 23:55:51,
20250319_235551,4,2,0,0,200102001,2025-03-19 23:55:51,
20250319_235551,5,1,0,2,201102001,2025-03-19 23:55:51,
20250319_235551,6,2,2,0,201102201,2025-03-19 23:55:51,
20250319_235551,7,1,1,1,201112201,2025-03-19 23:55:51,
20250319_235551,8,2,2,1,201112221,2025-03-19 23:55:51,
20250319_235551,9,1,0,1,211112221,2025-03-19 23:55:51,0
20250319_235552,1,1,1,0,000100000,2025-03-19 23:55:52,
20250319_235552,2,2,0,1,020100000,2025-03-19 23:55:52,
20250319_235552,3,1,1,2,020101000,2025-03-19 23:55:52,
20250319_235552,4,2,2,0,020101200,2025-03-19 23:55:52,
20250319_235552,5,1,2,2,020101201,2025-03-19 23:55:52,
20250319_235552,6,2,2,1,020101221,2025-03-19 23:55:52,
20250319_235552,7,1,1,1,020111221,2025-03-19 23:55:52,1
20250319_235552,1,1,2,1,000000010,2025-03-19 23:55:52,
20250319_235552,2,2,1,0,000200010,2025-03-19 23:55:52,
20250319_235552,3,1,2,2,000200011,2025-03-19 23:55:52,
20250319_235552,4,2,0,2,002200011,2025-03-19 23:55:52,
20250319_235552,5,1,2,0,002200111,2025-03-19 23:55:53,1
20250319_235553,1,1,1,1,000010000,2025-03-19 23:55:53,
20250319_235553,2,2,2,0,000010200,2025-03-19 23:55:53,
20250319_235553,3,1,0,2,001010200,2025-03-19 23:55:53,
20250319_235553,4,2,2,2,001010202,2025-03-19 23:55:53,
20250319_235553,5,1,0,1,011010202,2025-03-19 23:55:53,
20250319_235553,6,2,1,2,011012202,2025-03-19 23:55:53,
20250319_235553,7,1,1,0,011112202,2025-03-19 23:55:53,
20250319_235553,8,2,0,0,211112202,2025-03-19 23:55:54,
20250319_235553,9,1,2,1,211112212,2025-03-19 23:55:54,1
20250319_235554,1,1,0,0,100000000,2025-03-19 23:55:54,
20250319_235554,2,2,0,1,120000000,2025-03-19 23:55:54,
20250319_235554,3,1,1,1,120010000,2025-03-19 23:55:54,
20250319_235554,4,2,2,1,120010020,2025-03-19 23:55:54,
20250319_235554,5,1,0,2,121010020,2025-03-19 23:55:54,
20250319_235554,6,2,2,2,121010022,2025-03-19 23:55:54,
20250319_235554,7,1,2,0,121010122,2025-03-19 23:55:54,1
20250319_235555,1,1,1,2,000001000,2025-03-19 23:55:55,
20250319_235555,2,2,2,0,000001200,2025-03-19 23:55:55,
20250319_235555,3,1,2,2,000001201,2025-03-19 23:55:55,
20250319_235555,4,2,1,0,000201201,2025-03-19 23:55:55,
20250319_235555,5,1,0,2,001201201,2025-03-19 23:55:55,1
20250319_235555,1,1,2,2,000000001,2025-03-19 23:55:55,
20250319_235555,2,2,1,2,000002001,2025-03-19 23:55:55,
20250319_235555,3,1,0,2,001002001,2025-03-19 23:55:55,
20250319_235555,4,2,2,1,001002021,2025-03-19 23:55:55,
20250319_235555,5,1,0,0,101002021,2025-03-19 23:55:55,
20250319_235555,6,2,1,0,101202021,2025-03-19 23:55:56,
20250319_235555,7,1,2,0,101202121,2025-03-19 23:55:56,
20250319_235555,8,2,1,1,101222121,2025-03-19 23:55:56,2
20250319_235556,1,1,1,1,000010000,2025-03-19 23:55:56,
20250319_235556,2,2,1,2,000012000,2025-03-19 23:55:56,
20250319_235556,3,1,2,1,000012010,2025-03-19 23:55:56,
20250319_235556,4,2,1,0,000212010,2025-03-19 23:55:56,
20250319_235556,5,1,2,0,000212110,2025-03-19 23:55:56,
20250319_235556,6,2,0,0,200212110,2025-03-19 23:55:56,
20250319_235556,7,1,2,2,200212111,2025-03-19 23:55:56,1
20250319_235557,1,1,0,0,100000000,2025-03-19 23:55:57,
20250319_235557,2,2,2,2,100000002,2025-03-19 23:55:57,
20250319_235557,3,1,0,2,101000002,2025-03-19 23:55:57,
20250319_235557,4,2,1,1,101020002,2025-03-19 23:55:57,
